stem,split,date,site,sha256,pixel_sha256,block,annotators,group,fold,role
20110109104734Ch,train,2011-01-09 10:47:34,Ch,5bd765f094968d48feb2a8f4db6ec9708086ee2c8dfbc60acb86ba96e7e385e7,5014b6ebb7cc1a8137f977901c83c895c6b7ad17bf87151f4da3d648011cad13,13,1,13,2,train
20110114105034Ch,train,2011-01-14 10:50:34,Ch,a0b3172e4aace9bf552a52f65d730d84c188016514d7aff84447620632e4fcd3,4117f83a7827883b710da60fe61e83bb426c1e12e8d16a5222d24de43eaf2599,14,2,14,4,train
20110119082634Lh,train,2011-01-19 08:26:34,Lh,c904b28b0441435239652305e58c41c5124f2f4672581b97bfc187a0b64371df,dc8e573c1def176566fbc8054c8678ce3bef3ce87e9ff40d4988c09a731ba706,14,1,14,4,train
20110123174914Mh,train,2011-01-23 17:49:14,Mh,d1501da8d5d9ea0489299d1c82e1380c73d01ba4aedde6b8c61a174f91978c3d,672a591c8df27e6d5f7c5b44829700805c4b024be8fd0259dfdad6b9c0c64553,14,1,14,4,train
20110128174814Mh,train,2011-01-28 17:48:14,Mh,02f5d0385d1e19b95f49de90ec4c543ee0e09cb1d719e8825ab4be7ffd7fa8c0,adb7e0c0ba96f00dfc95b22ffca54940b6b37da839cf210a1c9a1c65fba0c08e,14,3,14,4,train
20110203082634Lh,train,2011-02-03 08:26:34,Lh,8c9d80587cf3927d5aef8f37d93f3fb737cf53602d269474dc4705b64069a28e,3d1f6155c6150d2ca7063306ba07bcf2a4cf6d5af5d727010e9dbfa39e933acb,14,3,14,4,train
20110205082634Lh,train,2011-02-05 08:26:34,Lh,11867b0df75926afb4f37332d83486617b46fe86dd0fb9f9b5058546cb0b078a,5a4c4a2488df51e46090c394d00b24db89fc5df596333587692502a770a39d95,14,2,14,4,train
20110211084114Th,train,2011-02-11 08:41:14,Th,25b6c0227cc689a64dd527ba75aca2832072b71a640a5a446de3008e20724cac,c02e0e0d37ade9eca0e209fc13bf818b7dc55cd675b5b5ac2e7279bf92cfe626,15,1,15,4,train
20110213093414Th,train,2011-02-13 09:34:14,Th,d57781de8b5170d5f0a82e16769cbfbe3fe6d4d4bd3587cb8cad1ec18e9deb8c,6258cb2aea590c8e16d5bdc70422c6783bb1dc1bcb1be67f30e6650eaa3462bd,15,2,15,4,train
20110215083814Th,train,2011-02-15 08:38:14,Th,bf957a2758ce68e1316e316447c6d614798f24e3b7b02312eeb471cfafb241c7,7a4a8a1c05029508813d25eb73897e7bb4a2dc777acb770263761a1fdd6f75ee,15,3,15,4,train
20110220082634Lh,train,2011-02-20 08:26:34,Lh,c6adddc7bed3f7f4aff542e62e1c2307871cf047a119b3e5fcce4c66c57fab4f,f4f9073b56d1b9d99282da9b39a29a141b726bddd9cc0bf8ca425c9d97484bb9,15,2,15,4,train
20110221173814Mh,train,2011-02-21 17:38:14,Mh,19f3b13d3bb552c034d41228a438843223402b1b4947014c22840849d6ebcb17,3594ad5922db2002336f814a0ce5eabe092a3b4733370b6b5a6473912f9756cd,15,1,15,4,train
20110301082654Uh,train,2011-03-01 08:26:54,Uh,e0c2878b8ebd610b0a427982719ac512b42af76af22a8c497ec6a94e13335a2d,128d487db4e72d525d5ac0641d7a87263835c81eaefa05a50a7c85a1a3ed9f04,15,3,15,4,train
20110306082634Lh,train,2011-03-06 08:26:34,Lh,e80d0233c9012f84790d88fbe98564ff0f103ebcd7400b76529a15639d290f1b,ca28537d86275c33db390b58adde598c613986a81e2761c815b799b77364ee32,15,3,15,4,train
20110312082634Lh,train,2011-03-12 08:26:34,Lh,7745d1108cfc757ac01b80c702c57ef038d2e39446460a5f159afd683a60c568,1d9f5066bbfd3a6bbb23a253068faaa0139145724cf9340e01fc77bd06e6b8f8,16,1,16,3,train
20110313082654Uh,train,2011-03-13 08:26:54,Uh,e42437caa812dd99465e74fc66c1af273a5cbc2d7db566769902588d21a56c57,1fe96143f18512444317fcbe28d1d7654026b6fe009fca9131dd834e0228e3a3,16,1,16,3,train
20110317082654Uh,train,2011-03-17 08:26:54,Uh,2974a885a6a6634c5743639e1a999175d1becec72933fc59499b048428bba158,58ac61f40a17be993adbf1372f93aa6a4d330e45060e23048c38fad0279b8862,16,1,16,3,train
20110322005814Mh,train,2011-03-22 00:58:14,Mh,427ed65898a7a666fe8f307ffeba63bb53a73d5146b3cc1d965db17d36911f83,f3c352bc0c871ae45fc2df93965eb122f8ef4c1b22ce45940ac3a6b685bbf3e5,16,3,16,3,train
20110324082614Th,train,2011-03-24 08:26:14,Th,7362f39c2f2dfd753c3fdba7b4406ac6022a8239408163c24aecd2fb54b2be30,9c06981adcd06186413803c26f05f46259e74891a09c7bd88ec8528ad810af60,16,2,16,3,train
20110325171014Mh,train,2011-03-25 17:10:14,Mh,fd67a7a7d01a7bff049cb686f586f5886e9fd4f7fe8aabcb688ff16c0968b254,948d26f8f44d22e887759b862f67d51733e27e2988fda0e3634c95a1e70d6d50,16,1,16,3,train
20110326170914Mh,train,2011-03-26 17:09:14,Mh,1623d80fdd2486a3c051675f2f7f0b918812861da5366e1e0a182808803a6df6,636e322b059710b7c11c63b7fa7a4e71ee22ef1f7d8cdf625aab630e7621aabd,16,1,16,3,train
20110327143554Bh,train,2011-03-27 14:35:54,Bh,8f0c0d0dfdcc051afb3a35a2be2531eac6015cdc69baa5bee064ab85620d9a70,a9f272ceefbd1387045b11eb469e1b7359c57d87486b2cb70163b71e1d720899,16,2,16,3,train
20110406082634Lh,train,2011-04-06 08:26:34,Lh,ee4b0047dbb46c7232828dbe3c89a35824ddc29561313a367b80a81f1c8c6a66,b327e3323dab5fbed2e6560ab4ba33793c5073097903dbff1789831824320ab7,17,1,17,0,train
20110410141654Bh,train,2011-04-10 14:16:54,Bh,89390d47e0efc4fa469e19a776f44ec041f2825ae768746bf2fece478a5975d4,49493c238bb2e1c9426fe5f01aac138d08d0e81d31b6d30bdf76a0408eeb0fa0,17,3,17,0,train
20110421164914Mh,train,2011-04-21 16:49:14,Mh,7a9e28e47c892b1fd3ea060481871f8bf266868bf269ec5e32e6230b74914214,e474cee42033606fba9ea4843f53d0bbf71c706b98ca5ade37dda70e9269fef5,17,1,17,0,train
