stem,first_annotator_image,second_annotator_image,first_instances,second_instances,instance_pq,foreground_dice
20110502063154Uh,050101-20110502063154Uh,050102-20110502063154Uh,12,9,0.22368308570496576,0.45079049747537453
20110502063154Uh,050101-20110502063154Uh,050103-20110502063154Uh,12,10,0.3821120846710002,0.5858858770667528
20110502063154Uh,050102-20110502063154Uh,050103-20110502063154Uh,9,10,0.3042328847792676,0.5741981304105802
20110510063134Lh,020403-20110510063134Lh,020401-20110510063134Lh,8,7,0.37350589474357904,0.6615847262046297
20110517164514Mh,050103-20110517164514Mh,050102-20110517164514Mh,2,1,0.4221894943544428,0.7214765100671141
20110517164514Mh,050103-20110517164514Mh,050101-20110517164514Mh,2,3,0.5028462059890745,0.6145619086795557
20110517164514Mh,050102-20110517164514Mh,050101-20110517164514Mh,1,3,0.29948867786705624,0.6191015477538694
20110727063234Lh,050103-20110727063234Lh,050101-20110727063234Lh,4,5,0.29132259719141196,0.6405646557464376
20110727063234Lh,050103-20110727063234Lh,050102-20110727063234Lh,4,5,0.40938131097757946,0.5477373790217107
20110727063234Lh,050101-20110727063234Lh,050102-20110727063234Lh,5,5,0.24509580315044088,0.5828071879553182
20110803164914Mh,010402-20110803164914Mh,010401-20110803164914Mh,14,8,0.330035535586312,0.3303914264427761
20110803164914Mh,010402-20110803164914Mh,010403-20110803164914Mh,14,11,0.45456817032543356,0.4369277455135248
20110803164914Mh,010401-20110803164914Mh,010403-20110803164914Mh,8,11,0.47220589331065865,0.6836305101535414
20110815140454Bh,020401-20110815140454Bh,020403-20110815140454Bh,8,7,0.42341211465797846,0.7637692392869007
20111214132434Ch,030401-20111214132434Ch,030403-20111214132434Ch,2,2,0.7379678502651025,0.8521617852161785
20111215063134Lh,010403-20111215063134Lh,010401-20111215063134Lh,5,5,0.13817980022197557,0.4600722626590564
20111215063134Lh,010403-20111215063134Lh,010402-20111215063134Lh,5,9,0.3551158513271871,0.4668639355134942
20111215063134Lh,010401-20111215063134Lh,010402-20111215063134Lh,5,9,0.16715267543713155,0.4156245528687938
20111218085014Th,050101-20111218085014Th,050103-20111218085014Th,10,14,0.2610833879260865,0.5110140382317802
20111218085014Th,050101-20111218085014Th,050102-20111218085014Th,10,12,0.4104410129370942,0.5082763151569536
20111218085014Th,050103-20111218085014Th,050102-20111218085014Th,14,12,0.3662712678901671,0.6473483793071422
20111222063154Uh,010402-20111222063154Uh,010403-20111222063154Uh,11,8,0.3284140976874323,0.6526644849313731
20111222063154Uh,010402-20111222063154Uh,010401-20111222063154Uh,11,10,0.29194138860025176,0.6718425477203046
20111222063154Uh,010403-20111222063154Uh,010401-20111222063154Uh,8,10,0.4148197337258423,0.6756976942460355
20111229063154Uh,010401-20111229063154Uh,010402-20111229063154Uh,3,9,0.2136770436346508,0.5001720578114246
20111229063154Uh,010401-20111229063154Uh,010403-20111229063154Uh,3,7,0.2386558375005486,0.5317560198003188
20111229063154Uh,010402-20111229063154Uh,010403-20111229063154Uh,9,7,0.4680856251354618,0.6214421876027082
20120519070814Th,010401-20120519070814Th,010403-20120519070814Th,16,14,0.36412732201070686,0.45126967095851217
20120519070814Th,010401-20120519070814Th,010402-20120519070814Th,16,20,0.2877003243086451,0.42407232416117796
20120519070814Th,010403-20120519070814Th,010402-20120519070814Th,14,20,0.328859930767437,0.6511206359396537
20120603123034Ch,010101-20120603123034Ch,010102-20120603123034Ch,5,6,0.3312384382390521,0.6403575989782886
20120603123034Ch,010101-20120603123034Ch,010103-20120603123034Ch,5,5,0.520620702465479,0.5378014211936474
20120603123034Ch,010102-20120603123034Ch,010103-20120603123034Ch,6,5,0.47288104739986087,0.6121989319577142
20120715123434Ch,050103-20120715123434Ch,050101-20120715123434Ch,9,8,0.4431155551625021,0.6279603411698489
20120715123434Ch,050103-20120715123434Ch,050102-20120715123434Ch,9,8,0.3304356046128318,0.6210456340671803
20120715123434Ch,050101-20120715123434Ch,050102-20120715123434Ch,8,8,0.4305225899740567,0.7439455971133162
20120720085114Th,050101-20120720085114Th,050102-20120720085114Th,3,6,0.13079551000488043,0.2528651190126359
20120720085114Th,050101-20120720085114Th,050103-20120720085114Th,3,6,0.1310272536687631,0.33025771555838374
20120720085114Th,050102-20120720085114Th,050103-20120720085114Th,6,6,0.4162456240789096,0.6758233182456688
20120723095014Th,010401-20120723095014Th,010402-20120723095014Th,3,6,0.28494375347522205,0.3810282981267437
20120723095014Th,010401-20120723095014Th,010403-20120723095014Th,3,3,0.6243615754647057,0.7710371819960861
20120723095014Th,010402-20120723095014Th,010403-20120723095014Th,6,3,0.2708371244395187,0.36067921440261863
20120729122634Ch,010201-20120729122634Ch,010202-20120729122634Ch,10,8,0.4233902626397079,0.6088513875297723
20120729122634Ch,010201-20120729122634Ch,010203-20120729122634Ch,10,8,0.21941992770627725,0.5256740020958369
20120729122634Ch,010202-20120729122634Ch,010203-20120729122634Ch,8,8,0.2701373799131697,0.6558993958821354
20120802090314Th,010402-20120802090314Th,010403-20120802090314Th,17,9,0.3074059413814213,0.6442564624946484
20120802090314Th,010402-20120802090314Th,010401-20120802090314Th,17,17,0.2878963239448627,0.6889153404164646
20120802090314Th,010403-20120802090314Th,010401-20120802090314Th,9,17,0.29574292123887064,0.6073712318178625
20120910074014Th,010203-20120910074014Th,010202-20120910074014Th,7,5,0.532714486139478,0.6949687480660932
20120910074014Th,010203-20120910074014Th,010201-20120910074014Th,7,9,0.41058028836359706,0.7326933935629588
20120910074014Th,010202-20120910074014Th,010201-20120910074014Th,5,9,0.43572664274975,0.6651902556875378
20120913165314Mh,010403-20120913165314Mh,010401-20120913165314Mh,3,4,0.17383644105124066,0.6080328349457637
20120913165314Mh,010403-20120913165314Mh,010402-20120913165314Mh,3,3,0.18824087245139876,0.5097754197252707
20120913165314Mh,010401-20120913165314Mh,010402-20120913165314Mh,4,3,0.0,0.4007701193685021
20120914063134Lh,040302-20120914063134Lh,040301-20120914063134Lh,4,3,0.18843802112284602,0.3087364264560711
20120917142654Bh,010201-20120917142654Bh,010203-20120917142654Bh,3,3,0.20374552983248637,0.6248912097476066
20120917142654Bh,010201-20120917142654Bh,010202-20120917142654Bh,3,2,0.47188579543621734,0.7107097141231689
20120917142654Bh,010203-20120917142654Bh,010202-20120917142654Bh,3,2,0.45614743099787686,0.683817594834544
20130314165714Mh,020401-20130314165714Mh,020403-20130314165714Mh,7,7,0.3591895047406733,0.7356725936943637
20130319144654Bh,010403-20130319144654Bh,010402-20130319144654Bh,4,8,0.3707466281899728,0.5869533349621304
20130319144654Bh,010403-20130319144654Bh,010401-20130319144654Bh,4,6,0.35257514195136636,0.6368108566581849
20130319144654Bh,010402-20130319144654Bh,010401-20130319144654Bh,8,6,0.348005646805396,0.6599751140605558
20130630070714Th,050102-20130630070714Th,050103-20130630070714Th,5,6,0.5155061435014143,0.7677147487844408
20130630070714Th,050102-20130630070714Th,050101-20130630070714Th,5,5,0.41479619075025714,0.6045395323321676
20130630070714Th,050103-20130630070714Th,050101-20130630070714Th,6,5,0.34402065396988585,0.6728800210028879
20130719140154Bh,050103-20130719140154Bh,050102-20130719140154Bh,7,13,0.3245655065058906,0.6518154800361804
20130719140154Bh,050103-20130719140154Bh,050101-20130719140154Bh,7,10,0.3603681382529574,0.6660513383391125
20130719140154Bh,050102-20130719140154Bh,050101-20130719140154Bh,13,10,0.4142336353318158,0.6448265110685493
20131107043054Uh,010402-20131107043054Uh,010401-20131107043054Uh,10,10,0.10970260158162,0.504932407745707
20131107043054Uh,010402-20131107043054Uh,010403-20131107043054Uh,10,7,0.20632517957042906,0.5862089587943304
20131107043054Uh,010401-20131107043054Uh,010403-20131107043054Uh,10,7,0.13799019626058281,0.5141594142837409
20131109222434Lh,010102-20131109222434Lh,010101-20131109222434Lh,11,15,0.2980026548620074,0.6524652547981469
20131128192214Mh,010102-20131128192214Mh,010101-20131128192214Mh,9,10,0.05416996876602489,0.44525226895676784
20140127180134Ch,010102-20140127180134Ch,010101-20140127180134Ch,15,16,0.4059323179422898,0.7305462193132457
20140205180154Bh,010403-20140205180154Bh,010401-20140205180154Bh,11,13,0.5251061835233082,0.6812177254713583
20140205180154Bh,010403-20140205180154Bh,010402-20140205180154Bh,11,17,0.44348856303056766,0.5798679783217322
20140205180154Bh,010401-20140205180154Bh,010402-20140205180154Bh,13,17,0.3001844890439976,0.6351024881073946
20140210180154Bh,050101-20140210180154Bh,050103-20140210180154Bh,12,15,0.4387145071432201,0.7495554449107333
20140210180154Bh,050101-20140210180154Bh,050102-20140210180154Bh,12,12,0.4813949450089987,0.7493999717633771
20140210180154Bh,050103-20140210180154Bh,050102-20140210180154Bh,15,12,0.4336532789011062,0.7717236299813518
20140212024554Uh,020403-20140212024554Uh,020401-20140212024554Uh,8,7,0.5222762709277905,0.724192174084027
20140216230134Lh,010403-20140216230134Lh,010402-20140216230134Lh,9,14,0.23155119059947055,0.6305438139249655
20140216230134Lh,010403-20140216230134Lh,010401-20140216230134Lh,9,16,0.14752061461250576,0.6260449563440461
20140216230134Lh,010402-20140216230134Lh,010401-20140216230134Lh,14,16,0.23571450211167866,0.6428224917309813
20140218230234Lh,040303-20140218230234Lh,040301-20140218230234Lh,9,6,0.22194880364216013,0.6470076685904024
20140321195814Mh,010101-20140321195814Mh,010102-20140321195814Mh,18,13,0.31394248350096404,0.6669481777014139
20140401014754Uh,030401-20140401014754Uh,030403-20140401014754Uh,11,9,0.3891474441925319,0.724230174771133
20140406195854Bh,010402-20140406195854Bh,010403-20140406195854Bh,12,12,0.264355354053794,0.6192263635562605
20140406195854Bh,010402-20140406195854Bh,010401-20140406195854Bh,12,16,0.2273508800897648,0.6431927398753059
20140406195854Bh,010403-20140406195854Bh,010401-20140406195854Bh,12,16,0.4007482071477097,0.691478008994588
20140413195914Mh,010401-20140413195914Mh,010403-20140413195914Mh,11,10,0.41003162623196926,0.6649471565173629
20140414020354Uh,010202-20140414020354Uh,010201-20140414020354Uh,4,13,0.1361091019802868,0.38038401660612353
20140414195834Ch,050103-20140414195834Ch,050101-20140414195834Ch,14,8,0.2116468899968032,0.4956762853651659
20140414195834Ch,050103-20140414195834Ch,050102-20140414195834Ch,14,10,0.34627656565222464,0.6422704931029015
20140414195834Ch,050101-20140414195834Ch,050102-20140414195834Ch,8,10,0.206045884443909,0.46142395372575706
20150819082014Th,010201-20150819082014Th,010203-20150819082014Th,6,1,0.16,0.3257437261093568
20150819082014Th,010201-20150819082014Th,010202-20150819082014Th,6,1,0.1468046516590206,0.258938652615732
20150819082014Th,010203-20150819082014Th,010202-20150819082014Th,1,1,0.0,0.6344216041918581
20150825082034Lh,010401-20150825082034Lh,010403-20150825082034Lh,9,8,0.41705310132036955,0.8034903755303184
20150825082034Lh,010401-20150825082034Lh,010402-20150825082034Lh,9,9,0.5039305967138125,0.7003657073473931
20150825082034Lh,010403-20150825082034Lh,010402-20150825082034Lh,8,9,0.3121237706327581,0.6551745049880227
20161129022454Uh,010102-20161129022454Uh,010101-20161129022454Uh,10,10,0.2609206834220224,0.6723390880721999
20161205133714Th,010401-20161205133714Th,010403-20161205133714Th,4,2,0.0,0.26225340654870855
20161205133714Th,010401-20161205133714Th,010402-20161205133714Th,4,3,0.0,0.2512134270809707
20161205133714Th,010403-20161205133714Th,010402-20161205133714Th,2,3,0.22471169686985176,0.6564609679566417
20161222133714Th,010101-20161222133714Th,010102-20161222133714Th,6,3,0.0,0.4682431408215856
20161224024154Uh,010101-20161224024154Uh,010102-20161224024154Uh,6,4,0.12004397215097104,0.4864686903272536
20161224024154Uh,010101-20161224024154Uh,010103-20161224024154Uh,6,5,0.10037878787878789,0.4645045789437444
20161224024154Uh,010102-20161224024154Uh,010103-20161224024154Uh,4,5,0.40366193268266315,0.6561360874848117
20161231133734Ch,010203-20161231133734Ch,010202-20161231133734Ch,4,6,0.11744142804016362,0.5438089371179453
20170103030554Uh,010102-20170103030554Uh,010101-20170103030554Uh,3,4,0.48789930135500287,0.6644570091635796
20170103030554Uh,010102-20170103030554Uh,010103-20170103030554Uh,3,3,0.40015250501951444,0.4625908507909363
20170103030554Uh,010101-20170103030554Uh,010103-20170103030554Uh,4,3,0.3487184097819335,0.5261621846987701
20170117175014Mh,050101-20170117175014Mh,050102-20170117175014Mh,3,4,0.5726156994148174,0.6681148469966
20170117175014Mh,050101-20170117175014Mh,050103-20170117175014Mh,3,4,0.5736574715859757,0.6997163925127623
20170117175014Mh,050102-20170117175014Mh,050103-20170117175014Mh,4,4,0.6596856040446089,0.7927587138611186
20170119031254Uh,010401-20170119031254Uh,010403-20170119031254Uh,2,1,0.0,0.35280814172634756
20170119031254Uh,010401-20170119031254Uh,010402-20170119031254Uh,2,4,0.17761136712749614,0.4923509759099701
20170119031254Uh,010403-20170119031254Uh,010402-20170119031254Uh,1,4,0.2183159188690842,0.35792019347037485
20170327143550Bh,010203-20170327143550Bh,010202-20170327143550Bh,5,3,0.1541287613715885,0.5743031198080119
20170329133730Ch,010202-20170329133730Ch,010203-20170329133730Ch,2,2,0.6588422162073897,0.7714582308911108
20170502233130Lh,010201-20170502233130Lh,010203-20170502233130Lh,1,1,0.6325604838709677,0.7749305341154678
20170502233130Lh,010201-20170502233130Lh,010202-20170502233130Lh,1,2,0.45446507515473034,0.5654565456545655
20170502233130Lh,010203-20170502233130Lh,010202-20170502233130Lh,1,2,0.5197401299350325,0.6320907617504052
20170726235030Lh,010201-20170726235030Lh,010202-20170726235030Lh,7,2,0.1683437150614918,0.42790697674418604
20170726235030Lh,010201-20170726235030Lh,010203-20170726235030Lh,7,5,0.2277728913519581,0.560666106240743
20170726235030Lh,010202-20170726235030Lh,010203-20170726235030Lh,2,5,0.20362473347547974,0.3458839912163248
20170728150230Ch,050102-20170728150230Ch,050103-20170728150230Ch,5,4,0.28300594278583296,0.6172911930776563
20170728150230Ch,050102-20170728150230Ch,050101-20170728150230Ch,5,5,0.37558696457518775,0.7058636832500198
20170728150230Ch,050103-20170728150230Ch,050101-20170728150230Ch,4,5,0.2733245471489685,0.6287603305785124
20170804140650Bh,010401-20170804140650Bh,010403-20170804140650Bh,1,2,0.0,0.45861434702636417
20170804140650Bh,010401-20170804140650Bh,010402-20170804140650Bh,1,3,0.0,0.33752417794970985
20170804140650Bh,010403-20170804140650Bh,010402-20170804140650Bh,2,3,0.21860465116279068,0.5444521019986216
20180112130330Ch,010202-20180112130330Ch,010203-20180112130330Ch,2,2,0.5943220587525568,0.7394086114473457
20190412025430Lh,010403-20190412025430Lh,010401-20190412025430Lh,1,1,0.5904221802142408,0.742472266244057
